ModA	ModB	RH	WS
34.9	33.5	98.9	0.7
35.8	34.3	99	0.8
36.7	35.2	99.1	0.5
37.6	36.1	99	0.8
38.4	36.9	99.1	1
39.2	37.6	99.1	1.4
39.8	38.2	99	1.4
40.4	38.7	99	1.7
40.8	39.2	98.9	1.2
41.2	39.5	99	1.2
41.6	39.9	98.8	1.5
41.9	40.2	98.8	1.1
42.2	40.6	98.8	1.6
42.6	41	98.8	1.6
43	41.4	98.8	1.9
43.4	41.7	98.6	1.7
43.8	42.1	98.6	1.8
44.1	42.4	98.6	1.7
44.5	42.7	98.6	2.1
44.8	43	98.6	2.5
45.1	43.3	98.6	2
45.4	43.6	98.7	1.5
45.8	44	98.6	1.6
46.2	44.5	98.5	1.4
46.7	45	98.7	0.6
47.3	45.5	98.7	1.3
47.9	46.1	98.7	1.7
48.7	46.8	98.6	1.8
49.5	47.6	98.6	1.5
50.5	48.6	98.7	1.3
51.6	49.7	98.7	0.9
52.8	50.8	98.7	0.9
54	52	98.7	0.8
55.3	53.2	98.8	1.1
56.6	54.6	98.7	0.8
58.1	56	98.8	0.4
59.9	57.7	99	0.4
62	59.8	99.2	0.2
64.5	62.2	99.2	0.2
67.2	64.9	99.2	0.4
70.2	67.9	99.2	0.4
73.6	71	99	0.5
77	74.5	99	1.1
80.7	78.1	99.2	0.2
84.6	81.9	99.2	0.9
88.7	85.9	99.1	0.8
92.9	89.9	99	0.7
97.2	94.1	98.6	1.5
101.6	98.3	98.6	1.2
105.8	102.3	98.7	0.4
110	106.5	98.6	0.1
114.3	110.6	98.7	1.2
118.7	114.9	98.7	0.6
123.1	119.2	98.5	0
127.7	123.7	98.5	0.1
132.5	128.4	98.5	1
137.5	133.2	98.3	1.2
142.5	138	98	0.3
147.7	142.9	98.1	0.3
152.8	147.8	98.3	0.1
158.2	153.1	97.9	0
163.5	158.3	98.2	0
168.4	163.1	98.1	0
172.5	167.1	98.2	0
176.1	170.6	98.4	0
179.4	173.8	98.4	0
182.1	176.5	98.5	0
184.4	178.6	98.3	0
186	180.3	98.1	0
187.1	181.4	98.2	0
188	182.4	98.1	0
189.1	183.5	97.8	0
190.5	184.8	97.9	0
192.1	186.2	97.7	0
193.7	187.6	97.4	0
194.9	188.8	96.7	0
195.9	189.7	96.2	0
197.3	191	96.5	0
198.8	192.6	97.4	0
200.2	194	97.5	0
201.6	195.3	97.4	0.5
202.7	196.4	96.5	0.6
203.8	197.4	96.7	0.4
204.4	198.1	96.2	0
205.4	199.1	96.4	0
207.8	201.5	96.8	0
211	204.6	97	0
214.3	207.9	97.8	0.1
218.4	211.8	96.6	0.5
223.2	216.2	96.6	0
228.2	221	96.7	0
233.2	225.8	96.9	0
237.7	230.3	97.5	0
241.9	234.3	97	0
245.1	237.6	96.7	0.1
247.9	240.3	95.5	0
250	242.5	95.7	0
252.4	245.1	95.8	0
254.1	247.1	95.6	0
256.8	249.9	95.3	0
262.6	255.6	95.6	0
271.6	264.3	95.2	0
277.3	269.9	95.9	0
286.3	278.7	96.7	0
293.5	285.9	95.2	0
300.7	292.9	94.7	0
300.8	293	94	0
303.6	295.7	94.2	0
308.5	300.5	93.7	0
317.3	309	93.7	0
323.8	315.4	93.7	0
326.9	318.4	94.5	0.2
330.3	321.7	94	0.1
336.9	328.2	93.9	0
347.9	339	94.2	0
365	355.7	94.5	0
384.3	374.5	95.1	0.2
408.4	398	93.1	0
432.9	421.8	92.8	0
447.2	435.9	92.8	0
467.2	455.6	93.1	0
474.3	462.6	92.8	0
477.4	465.7	93.7	0
463	452	92.5	0
434.7	424.4	92.3	0
430.6	420.4	92.5	0
481	469.4	94.4	0
520.9	508.9	94.5	0
531.5	518.9	94.9	0
567	553.5	93.1	0
570.5	556.9	93.2	0
638.2	622.9	93.7	0
627.8	612.9	93.3	0
614.8	600.3	91.3	0
614.6	600.1	93.3	0
646.6	632.1	95.7	0
689.6	673.6	92.3	0
683.2	667.1	93	0.1
624.4	610	93.6	0.1
558.5	546	92.9	0
536.8	525.2	92	0
514.6	503.4	94.9	0
474.6	464	92.7	0
459.5	449.1	90.3	0.3
471.8	460.7	87.8	0.4
504.2	465.6	86.4	0
483.3	471.2	88	0
478.1	465.9	88	0
472	460	86.5	0
460	448.3	87.7	0
451.2	439.8	87.1	0
446.6	435.4	88.7	0
442.4	430.3	88.7	0
457	445	88.8	0
467.8	456.1	87.9	0
478.4	466.7	88.6	0
453.1	442	89.3	0.5
421.4	411	87.7	0
419	408.7	87.5	0.5
413.9	403.7	87.4	0.8
422.7	412.3	88.5	0.6
433.4	422.8	88.4	0
449.1	438.2	88.5	0.2
471.1	459.7	89.5	0.7
489	477	87.5	1
507.7	495.2	87.4	0.1
518.4	505.6	89.1	0
526.7	513.7	88.3	0.6
537.8	524.6	87.7	0.1
574.5	560.6	87.7	0.5
551.4	538	88.9	0.5
540.9	527.7	88.8	0.2
547.8	534.3	87.5	1
576.7	562.6	87.2	0.2
594.4	579.8	87.1	0.3
618.6	603.3	88.4	1.5
602.8	587.7	87.7	0.8
583	568.2	88.4	0.4
585.4	570.6	87.1	0
602.6	587.4	85.9	0.1
627.5	611.9	84.7	0
633.2	617.6	85.4	0
600.1	585.6	85.3	0.5
573.2	559.2	85.6	0
550.9	537.4	88.2	1
547.4	533.8	87.4	1.6
543.3	529.8	85.4	1.7
542.5	529	85.3	1.1
547.4	533.8	85.1	0.6
559.5	545.7	85.1	0.4
562.5	548.9	87.2	1.1
560	546.3	87.5	1.3
564.5	550.5	85.7	0.7
559.8	545.8	86	0
547.7	534.1	86.6	0
554	540.2	86.6	0.1
578.1	563.8	84.7	0.6
613.4	598.4	83.9	0.7
672.4	656.7	86.4	0.4
706.3	689.3	84.3	0.8
767.6	748.9	85.5	0.2
878	856	85.3	0.5
883	861	85.4	1.7
912	890	84.2	1.6
878	856	85.3	0.8
864	843	85.7	0.6
1002	978	85.6	1.7
1065	1039	83.4	1.6
1050	1025	83.6	1.5
1049	1025	82.7	0.4
1142	1116	82.5	0.2
1193	1167	83.1	0.1
1070	1046	82.9	0.2
1036	1012	82.3	0.1
1075	1051	83.5	1.2
1072	1048	84.1	0.8
1024	1001	81.3	0.2
1076	1052	83.6	0.5
1163	1137	83.4	2
1237	1208	82.4	1.2
1132	1105	80.1	0.6
1041	1016	82.2	0.1
900	879	79.5	0
805	786.9	80.7	0.4
767.7	750.3	81.3	1
860	841	79.8	0
868	849	78.6	0.1
723.7	707.9	79.8	1.2
659.6	645.3	79.8	0.7
673.5	658.9	82.3	0.2
727.8	711.9	81.4	1.3
753.8	737	81.5	1
751.1	734	81	1.3
766.6	748.9	79.4	1.6
839	820	80.3	1
863	843	80.5	0.5
890	870	77.8	0.9
929	908	77.6	0.2
929	908	78.1	0.3
876	856	76.5	0.1
893	872	76.2	0
863	843	76.9	0.1
970	948	77.9	0.3
869	850	78.6	0.1
1093	1068	77.8	0.9
1040	1018	78	1.9
932	912	77.2	1.6
1087	1064	77.6	1.2
1062	1040	79.5	1.3
1056	1034	80.1	0
1036	1014	80.9	0.8
1042	1020	80.4	1.5
1039	1017	78.4	1.5
1040	1018	80.2	1.9
1038	1016	80.5	1
1035	1013	78	0
1033	1011	77.6	0
1030	1008	78.2	0.1
1030	1008	77.7	0
1031	1009	79.1	0
1030	1007	76.7	0
1027	1005	77.8	0
1024	1001	76	0.1
1026	1003	76.9	0.6
1028	1006	74.7	1.6
1032	1010	75	1.2
1036	1014	75	1.1
1039	1017	75.4	1.5
1037	1016	77	1.5
1036	1014	75.9	1
1036	1014	76.7	0.9
1039	1017	75.5	1
1046	1024	75.6	0.9
1043	1020	76.7	1.7
1051	1027	79.2	1.1
1068	1044	76.8	1.7
1062	1039	76.3	2.3
1028	1003	77.7	2.3
1043	1020	77.3	2.5
1043	1021	76.6	2.4
1039	1016	78.4	1.9
1036	1013	77.4	1.8
1043	1020	78	2.3
1061	1038	76.7	2
1092	1068	75.1	1.9
1099	1075	75.7	1.6
1028	1003	75	0.9
959	938	76.4	0.5
1054	1031	76.9	1
1056	1033	77.5	0.6
1061	1038	75.8	1.8
1065	1042	75.8	1.7
983	961	75.4	1.2
1029	1006	75.9	1.4
1076	1053	74.7	1.8
1074	1051	74.4	1.8
1084	1061	75.9	1.9
1099	1075	75.2	1.8
1102	1078	75.2	1.4
1080	1057	75.7	1.4
922	902	74.4	1.6
868	850	73.9	1.7
886	866	74.9	1.7
903	883	72.9	1.8
973	951	72	1.8
1003	980	72	1.5
1051	1027	72.9	2
1099	1074	72.5	1
1098	1072	74.9	2.2
996	972	73	2.5
1092	1066	73.7	2
519.6	506.8	72.2	1.3
387.9	378.7	72.8	2.7
392.3	383.3	73.6	2.3
432.9	423	74.1	2.1
509.5	498	74.9	1.6
968	947	74.5	1.6
1166	1138	75.6	2.4
1151	1125	75.2	2.4
1117	1091	74	1.7
1103	1077	74.6	1.6
1022	998	73.9	0.5
1016	992	73.8	1.4
1012	989	72.7	1.1
988	965	72.9	0.5
1066	1042	72	1.5
1136	1110	72.7	0.9
1139	1113	71.6	0.1
1189	1162	73	0.7
1202	1175	72.4	0.6
1226	1198	72.2	2.1
1219	1190	73.8	2.8
1141	1114	73.2	2.9
968	946	71.6	2.9
792.8	774.5	73.2	2.8
822	803	72.3	1.3
954	933	73.6	1.6
1184	1158	73.4	2.7
1259	1231	72	1.6
1106	1081	73.5	0.2
1171	1145	74.7	0
1054	1030	71.2	0.3
974	951	72.3	0
911	890	73	0.1
928	907	72	0
956	935	73.1	0.7
1015	992	73.1	1.9
1025	1002	72.5	2.3
994	973	71.9	1.6
1065	1040	72.9	1.8
975	952	73.7	2.7
880	859	71.9	2.8
1028	1005	71.9	2.5
1119	1095	73	3
1083	1059	71	3.2
931	909	71.8	3.3
872	850	71.6	2.4
798.8	779.2	71.7	1.5
706.8	689.4	72.3	2
571.1	556.7	71.2	1.9
477.6	466	71.2	2
442.1	431.6	72.8	0.9
416.3	406.2	72.6	0.3
416	405.9	72.4	1.4
431.8	421.2	73	1.5
456.1	444.9	72.2	1.3
492.6	480.5	72.7	1
500	487.8	72.5	0.8
472.5	461.1	72.3	1
514.3	502	74	2
498.3	486.2	73.9	2.6
502.2	490	72.5	2.6
439.8	429	75.1	2.6
376.5	367	75.5	1.9
353.5	344.5	75.2	2
357.7	348.7	74.9	1.9
377.6	368.2	75.4	2.6
403.7	393.7	75.8	2.6
377.6	367.9	75.1	2.2
347.4	338.2	75	2.4
338.7	329.8	75.9	2.3
350.7	341.7	75.5	3
392.1	382.3	77.2	2.5
433.8	423.2	77.6	3.2
429.5	419.1	77.4	3.4
459.4	448.5	78	2.2
451.6	441	77.4	2.6
460.5	449.8	78.3	3.3
445.3	434.6	78.7	3.8
462.7	451.5	77.8	4
419.4	408.9	77.3	3.7
408.9	398.7	78.9	4
439.9	428.9	79.1	3.9
440.6	429.2	79.4	3.1
456.5	445.1	79.1	4
478.2	466.3	78.7	4
491.8	479.6	79.3	3.4
463.5	451.5	79.4	3.4
407.5	396.7	77.9	4.1
382.3	372	77.6	3.5
400	389.5	79.5	3.4
423.2	411.9	78.5	3.2
386.4	375.6	77.8	4.3
358.9	348.2	77.4	4.1
336	325.3	78.1	4
320.6	309.8	78.3	3.8
313.9	302.8	79	3.8
308	296.7	80.2	2.6
292.5	281.6	79.3	3.3
268.8	258.6	79.8	3.2
242.5	233.3	78.7	3.7
221.5	213.1	79.2	3.4
205.1	197.5	80.5	1.9
190.6	183.5	79.4	3.2
178.3	171.5	80.2	3.5
169.3	162.7	80.9	2.8
163.5	156.9	81	2.2
160.5	153.8	81.1	2.5
160	153.2	81.5	2.3
161.5	154.6	80.5	2.7
164.6	157.4	81.7	1.8
168.2	160.5	80.8	3.2
171.4	163.4	81.4	2.3
174	165.8	81.3	2.6
176.1	167.8	81.1	2.6
177.4	169.1	81.3	2.4
177	168.8	82.2	2
176.3	168.4	82.5	2.1
177.1	169.4	81.6	2
180.6	172.9	82.1	1.9
186.8	179.1	81.5	1.7
194.2	186.6	81.9	2.6
200.8	193.2	81.9	2.9
206.5	199	81.9	2.4
212.1	204.4	81.9	2.3
218.5	210.5	82.1	2.6
